管理組織名稱,地址門牌,使照號碼,核准日期,核准文號,證書編號
科學市社區管理委員會,觀音區三和村11鄰文化路坑尾段376巷9弄8號等,(97)桃縣工建使字第觀00183號共4筆使照,097/07/14,'0970226973,'970116
諾貝爾別墅第三期,觀音區上大村14鄰86-33號,(86)桃縣工建使字第觀01268號,087/06/25,'8700124890,'870132
岳鼎天翔社區管理委員會,觀音區上大里11鄰福恩路1段158號2樓 等,(105)桃市都施使字第觀01231號,106/11/29,'1060026895,'106025
綠能民生宿舍,觀音區大同一路19之2號,(96)桃縣工建使字第觀01364號,096/11/01,'0960424470,'
皇家大院D區管理委員會,觀音區大同村7鄰新富路一段800巷39號,(93)桃縣工建使字第觀02213號,094/04/19,'0940103233,'940062
夢想家社區管理委員會,觀音區大堀村9鄰大湖路二段711巷5號等,(95)桃縣工建使字第觀01740號,097/10/06,'0970331438,'970170
綠野香波社區管理委員會,觀音區大湖路2段236巷66弄11-7號,"使照:100桃觀鄉建使字第00078號,建照:99桃觀鄉建造字第00062號",101/02/09,'1010035048,'101019
雅仕堡社區管理委員會,觀音區大湖路886巷6號,(102)桃縣工建使字第觀00063號,103/05/09,'1030031947,'103102
帝寶社區,觀音區大湖路二段687巷2號,(88)桃縣工建使字第觀01671號,093/11/10,'0930294342,'930153
松田盛世社區管理委員會,觀音區大潭村16鄰保生二街19號等,(96)桃縣工建使字第觀01165號,098/11/18,'0980455572,'980221
荷薌透天別墅社區,觀音區大觀路一段166號,(88)桃縣工建使字第觀01819號,091/12/03,'0910267568,'910145
彩色世界公寓大廈,觀音區大觀路二段20號,(82)桃縣建使字第00442號,085/11/18,'8500262682,'860147
金來圓公寓管理委員會,觀音區大觀路三段667號,(85)桃縣建使字第00366號,093/10/08,'0930261796,'930135
新坡學院管理負責人,觀音區中山路2段522號1樓之1等,(98)桃縣工建使字第觀00269號,099/04/20,'0990146388,'990076
喜鵲花園別墅一期社區管理委員會,觀音區中山路一段1171巷16弄16號,(95)桃縣工建使字第觀00597號,095/12/29,'0950397425,'950284
喜鵲花園別墅二期社區管理委員會,觀音區中山路一段1171巷9號,(93)桃縣工建使字第觀02977-01號共2筆使照,095/12/29,'0950397417,'950285
亞太郡社區管理委員會,觀音區中山路一段1201巷2弄12號,(85)桃縣工建使字第01206號,096/08/07,'0960262481,'960165
七年級成家管理負責人,觀音區中山路二段８７-１０號等,(96)桃縣工建使字第觀01349號,098/08/04,'0980299732,'098133
傳家寶第十六期管理委員會,觀音區中央一街60號等,(100)桃縣工建使字第觀01194號,101/08/29,'1010216491,'
白金漢宮住戶管理委員會管理負責人,觀音區中正路221巷20號等,(98)桃縣工建使字第觀00094號,098/03/06,'0980079737,'
錢都六期社區管理委員會,觀音區仁德街156-1號等,(105)桃市都施使字第觀01495號,106/07/27,'1060016520,'106013
快樂家A棟公寓大廈管理委員會,觀音區仁德街389號4-3樓,(99)桃縣工建使字第觀01168號,100/12/01,'1000491630,'100233
中央公園社區管理委員會,觀音區公園一街2號,(96)桃縣工建使字第觀00907號共5筆使照,098/12/02,'0980473650,'980239
傳家寶第十七期,觀音區公園三街95號等,(100)桃縣工建使字第觀01395號共2筆使照,101/08/29,'1010216503,'101167
享大墅公寓大廈管理負責人,觀音區正大路436號,(105)桃市都施使字第觀00434號,106/09/04,'1060019623,'106020
建維民權管理負責人,觀音區民權路93號,(102)桃縣工建使字第觀00064號,103/03/14,'1030017152,'103062
建維民權二期管理負責人,觀音區民權路97號,(102)桃縣工建使字第觀00065號,103/02/11,'1030009504,'103036
幸福雅御永吉A棟社區管理委員會,觀音區永吉街153號,(105)桃市都施使字第觀00548號,106/05/25,'1060011334,'106005
立興物流園區管理負責人,觀音區白玉村白沙屯25-6號,(102)桃縣工建使字第觀01403號,103/04/16,'1030025075,'103086
楷得立吉祥如意公寓大廈管理負責人,觀音區吉祥街65巷7號等,100年桃觀鄉建造字第74號、101年桃觀鄉建使造字第54號,101/11/28,'1010302806,'
錢都三五期社區管理委員會,觀音區安和街112號 等,(105)桃市都施使字第觀01497號共2筆使照,106/07/27,'1060016521,'106012
錢都一二期社區管理委員會,觀音區安和街269號 等,(105)桃市都施使字第觀01038號,106/04/28,'1060009131,'106003
觀音美的世界社區,觀音區坑尾村13鄰坑尾86-23號5樓,(89)桃縣工建使字第觀01664號,093/08/04,'0930200743,'930116
蘭亭集序社區管理委員會,觀音區坑尾村1鄰坑尾3-7號等,(95)桃縣工建使字第觀01414號,097/04/28,'0970132571,'970052
依吉邦,觀音區忠愛路愛一巷63弄38衖7-6號等,建照：(98)桃觀鄉建造字第00033號,101/09/19,'1010235268,'101184
金湖別墅社區管理委員會,觀音區金湖村4鄰後湖58之16號等,(95)桃縣工建使字第觀00186號,097/05/13,'0970150550,'970071
欣芮國際新城管理負責人,觀音區金華路276巷22號1樓管理室,(100)桃縣工建使字第觀00455號,100/06/27,'1000248366,'100105
勝利組二期社區管理委員會,觀音區長春街160號 等,(105)桃市都施使字第觀01286號,106/08/22,'1060018713,'106016
黃金屋八期管理委員會,觀音區長春街171號 等,(105)桃市都施使字第觀01024號,106/04/14,'1060007650,'106002
快樂家B棟公寓大廈管理委員會,觀音區長春街380號4樓之3,(99)桃縣工建使字第觀01167號,100/12/01,'1000491593,'100234
聖翔三代田社區管理委員會,觀音區長興路202號 等,(104)桃市工建使字第觀00244號,106/06/13,'1060012607,'106008
陽光大地社區管理委員會,觀音區保障路258巷11號等,(105)桃市都施使字第觀01566號,106/10/11,'1060022744,'106024
郁群公寓大廈管理負責人,觀音區信義路156巷36號,(102)桃縣工建使字第觀01341號,103/03/31,'1030021055,'103070
自在宏觀社區管理委員會,觀音區信義路196號等,(104)桃市都建使字第觀00439號,106/06/15,'1060012867,'106009
幸福雅御五期B棟社區管理委員會,觀音區建國路238巷51號 等,(105)桃市都施使字第觀00514號,106/05/25,'1060011335,'106006
觀音亞悅二期管理委員會,觀音區泰安街21號等,(105)桃市都施使字第觀01360號,106/09/06,'1060019898,'106021
幸福家3管理委員會,觀音區泰安街50號等,(105)桃市都施使字第觀00080號,106/08/29,'1060019109,'106017
成功新宿管理委員會,觀音區泰安街85號1樓,(95)桃縣工建使字第觀01311號共3筆使照,096/08/30,'0960292132,'960183
大發別墅社區,觀音區草累村二聖路9巷20號,(93)桃縣工建使字第觀01031號,094/03/04,'0940055816,'940028
皇家十二苑A區管理負責人,觀音區草新村33鄰十全一街99巷1號等,(103)桃縣工建使字第觀00894號,103/12/18,'1030094440,'103275
皇家十二苑B區管理負責人,觀音區草新村33鄰十全一街99巷2號等,(103)桃縣工建使字第觀00884號,103/12/18,'1030094441,'103276
皇家十二苑C區管理負責人,觀音區草新村33鄰十全一街99巷7號等,(103)桃縣工建使字第觀00883號,103/12/18,'1030094439,'103277
幸福璽悅一期社區管理委員會,觀音區草新里14鄰新生路1305號 等,(106)桃市都施使字第觀00387號,107/01/02,'1060029939,'107002
千代賞社區管理委員會,觀音區草新里19鄰五福三街21號 等,(104)桃市都建使字第觀00434號,105/05/05,'1050008816,'105003
幸福家園三期管理委員會,觀音區草新里23鄰五福一街33號,(104)桃市都建使字第觀00711號,105/03/18,'1050005112,'105001
摩登薪尊邸C社區管理負責人,觀音區草新里23鄰五福一街37號二樓之1 等,(104)桃市都建使字第觀00929號,104/12/04,'1040026110,'104010
摩登薪尊邸B社區管理負責人,觀音區草新里23鄰六合街61號二樓之1 等,(104)桃市都建使字第觀00928號,104/12/04,'1040026109,'104009
帝境八B區管理負責人,觀音區草新里28鄰六合街153號,(103)桃縣工建使字第觀01146號,//,'1040012686,'104002
帝境八C區管理負責人,觀音區草新里28鄰六合街163巷1號,(103)桃縣工建使字第觀01139號,104/06/25,'1040012687,'104003
黃金屋五期管理委員會,觀音區草新里32鄰二聖路98巷2號等,(103)桃縣工建使字第觀01039號,104/02/13,'1040002975,'104001
薪世紀一期管理負責人,觀音區草新里33鄰十全路16號等,(106)桃市都施使字第觀00054號,106/04/13,'1060007896,'106001
舞悅天第一期管理負責人,觀音區草漯村12鄰莊一街56號,(103)桃縣工建使字第觀01125號,103/12/24,'1030096573,'103288
桃園縣草漯如邑園社區,觀音區草漯村13鄰九如街199巷1號等,(95)桃縣工建使字第觀01046號,097/11/25,'0970397547,'097199
儒林天下,觀音區草漯村23鄰四維路16號7樓,(82)桃縣建使字第00267號,089/06/16,'8900117166,'890110
築圓金鑽社區,觀音區草漯村26鄰新生路1401號等,(96)桃縣工建使字第觀01051號,097/12/09,'0970417010,'097209
五福社區管理委員會,觀音區草漯村28鄰五福街119巷13號,(93)桃縣工建使字第觀01730號,094/09/23,'0940266321,'940166
築圓社區管理委員會,觀音區草漯村30鄰二聖路152號等,(94)桃縣工建使字第觀00679號,094/11/03,'0940309212,'940210
桃園縣草漯新生社區管理委員會,觀音區草漯村九如一街61巷15號,(97)桃縣工建使字第觀00354號,098/06/25,'9802417600,'098099
薪尊邸社區,觀音區草漯村九如二街55巷1號等,(94)桃縣工建使字第觀00120號,099/08/13,'0990313670,'099200
觀音黃金屋社區管理負責人,觀音區草漯村五福街107號,(100)桃縣工建使字第觀00650號,100/11/01,'1000445616,'100216
御硯B管理負責人,觀音區草漯里11鄰瑞祥街22號 等,(104)桃市都建使字第觀01010號,107/01/23,'1070001911,'107006
薪世紀2期管理負責人,觀音區草漯里12鄰福興街377號5樓 等,(106)桃市都施使字第觀00969號,106/12/04,'1060027393,'106026
幸福家園二期,觀音區草漯里27鄰六合三街66巷1號,(103)桃縣工建使字第觀01094號,104/05/18,'1040009277,'104003
普森社區管理負責人,觀音區國建二路3-1號,(95)桃縣工建使字第觀00986號,096/04/18,'0960124644,'
綠野芳庭,觀音區崙坪村235-10號,,086/10/01,'8600191523,'
荷田田社區,觀音區荷新路97巷8號,(101)桃觀鄉建使造字第00046號;(100)桃觀鄉建造字第00009號,102/01/22,'1020021374,'102014
松岩社區管理委員會,觀音區崙坪村8鄰崙坪126-7號等,(95)桃縣工建使字第觀00710號,095/10/30,'0950321585,'950238
忠愛花園新城,觀音區崙坪村忠愛路123巷9弄,(82)桃縣建使字第00079號,088/11/04,'8800239678,'880198
幸福大別墅,觀音區崙坪里12鄰崙坪210之11號 等,(104)桃市工建使字第觀00247號,104/09/07,'1040018568,'104005
昌沛合宜社區管理委員會,觀音區崙坪里崙坪362號5樓,(102)桃縣工建使字第觀00039號,102/12/20,'1020314338,'102290
上益大廈管理負責人,觀音區張厝113-1號2樓,(101)桃縣工建使字第觀00644號,102/04/17,'1020094005,'102076
御硯管理負責人,觀音區莊敬路18號 等,(104)桃市都建使字第觀00999號,106/08/09,'1060017474,'106014
御硯A管理負責人,觀音區莊敬路38號等,(104)桃市都建使字第觀01000號,106/08/09,'1060017475,'106015
長運沐光社區管理委員會,觀音區富林里17鄰二聖路431巷11號 等,(105)桃市都施使字第觀01119號,107/01/16,'1070001146,'107004
新點樂章5管理委員會,觀音區富春路420巷2號等,(105)桃市都施使字第觀01006號,106/05/08,'1060009798,'106004
皇家大院B區,觀音區富新路一段796號,(93)桃縣工建使字第觀02214號,094/04/19,'0940103232,'940061
十方大砌社區管理委員會,觀音區富源村5鄰新富路1019巷133號等,(96)桃縣工建使字第觀00980號,097/09/25,'0970318382,'970165
禾風秀墅社區管理委員會,觀音區富源村5鄰新富路839巷63弄8號,(94)桃縣工建使字第觀00293號,094/11/25,'0940331863,'940223
大福氣社區,觀音區富源村二鄰80-26號,(85)桃縣工建使字第00098號,087/05/05,'8600102518,'980247
學府新城二期管理委員會,觀音區新生路1717號等,(81)桃縣工建使字第00760號,101/04/17,'1010095389,'101067
新坡御品社區,觀音區新坡里13鄰文林路399號 等,(104)桃市工建使字第觀00235號,104/09/21,'1040019923,'104007
源墅社區管理委員會,觀音區新富路711巷(警衛室),(89)桃縣工建使字第觀00900號,091/09/23,'0910208583,'910114
大莊社區,觀音區新富路765巷守衛室,(83)桃縣工建使字第00701號,088/04/13,'8800073028,'880064
非凡19社區管理委員會,觀音區新富路839巷100弄23號,(94)桃縣工建使字第觀00795號,095/06/06,'0950160093,'950102
皇家大院K區管理委員會,觀音區新富路一段756巷3號等,(94)桃縣工建使字第觀01210號,095/03/02,'0950055536,'950033
皇家大院H區管理委員會,觀音區新富路一段758號等,(94)桃縣工建使字第觀01211號,095/03/02,'0950055535,'950032
皇家大院J區管理委員會,觀音區新富路一段778巷6號等,(94)桃縣工建使字第觀01212號,094/12/06,'0940338030,'940231
皇家大院F區管理委員會,觀音區新富路一段778巷73號 等,(94)桃縣工建使字第觀01172號,094/12/06,'0940338029,'940232
皇家大院E區,觀音區新富路一段800巷36號,(93)桃縣工建使字第觀02215號,094/04/19,'0940103234,'940063
皇家大院社區管理委員會,觀音區新富路一段800巷61號,(93)桃縣工建使字第觀02213號共2筆使照,098/09/29,'0980382330,'980180
皇家大院A區,觀音區新富路一段802號,(93)桃縣工建使字第觀02212號,094/04/19,'0940103231,'940060
福春501公寓大廈管理負責人,觀音區福山路二段286號,(104)桃市都建使字第觀01643號,105/07/06,'1050013718,'105005
時尚美墅社區管理委員會,觀音區福昌街2號 等,(104)桃市工建使字第觀00052號共5筆使照,106/06/09,'1060012429,'106007
日勝彩虹B棟社區管理負責人,觀音區福昌街78號2樓之3,(104)桃市工建使字第觀00303號,104/12/30,'1040028163,'104012
日勝彩虹A棟社區管理負責人,觀音區福昌街80號5樓之1 等,(104)桃市工建使字第觀00302號,104/12/30,'1040028162,'104011
大觀金鑽社區管理負責人,觀音區福祥街23號 等,(104)桃市工建使字第觀00189號,104/09/14,'1040019113,'104006
夢想家二期社區管理委員會,觀音區福壽街272號 等,(105)桃市都施使字第觀01482號,106/07/19,'1060015573,'106011
黃金屋11期管理委員會,觀音區廣大路291巷9號等,(106)桃市都施使字第觀00494號,106/09/13,'1060020348,'106022
吉祥民權公寓大廈管理委員會,觀音區樹林村10鄰民權路101號,(96)桃縣工建使字第觀00337號,103/01/06,'1030000988,'103004
快樂滿屋三期公寓大廈管理委員會,觀音區樹林村10鄰永吉街62號5二樓等,(103)桃觀鄉建使造字第00004號,103/06/26,'1030044733,'
好家園管理負責人,觀音區樹林村11鄰永吉街31號,(102)桃縣工建使字第觀00084號,103/04/11,'1030024208,'103084
名恆吉祥會館管理負責人,觀音區樹林村11鄰吉祥街2號,(97)桃縣工建使字第觀01936號,097/12/31,'0970450004,'
幸福家2管理委員會,觀音區樹林村11鄰建國路313號等,(103)桃觀鄉建使造字第00006號,103/07/02,'1030046334,'103152
快樂滿屋二期公寓大廈管理委員會,觀音區樹林村14鄰長春街92號等,(103)桃觀鄉建使造字第00003號,103/06/26,'1030044735,'103144
快樂滿屋A棟公寓大廈管理委員會,觀音區樹林村15鄰長春街349號等,(102)桃觀鄉建使造字第00061號,103/06/26,'1030044713,'103142
快樂滿屋B棟公寓大廈管理委員會,觀音區樹林村15鄰福壽街378號5樓 等,(102)桃觀鄉建使造字第00062號,103/06/26,'1030044736,'103145
名恆敬業會館管理負責人,觀音區樹林村9鄰民生路71巷50號等,(97)桃縣工建使字第觀02142號,098/03/31,'0980117702,'
許永光管理負責人,觀音區樹林村9鄰安和街237號等,(103)桃觀鄉建使造字第00001號,103/12/01,'1030089936,'103269
翔旺公寓大廈管理負責人,觀音區樹林村9鄰建國路96號等,(102)桃觀鄉建使造字第00018號,103/09/02,'1030063097,'103196
大家住易E棟管理委員會,觀音區樹林村9鄰敬業街71巷12號等,(95)桃縣工建使字第觀01632號,099/08/10,'0990308675,'990194
大家住易ABCD棟公寓大廈管理委員會,觀音區樹林村9鄰敬業街83巷1號 等,(95)桃縣工建使字第觀01869號,097/04/10,'0970111595,'970046
大家住易F棟管理委員會,觀音區樹林村9鄰敬業街83巷7號等,(95)桃縣工建使字第觀01631號,097/04/22,'0970127183,'970049
幸福雅御B區社區管理委員會,觀音區樹林里10鄰仁德街120號 等,(104)桃市都建使字第觀00793號,105/05/05,'1050008955,'105004
幸福雅御A區社區管理委員會,觀音區樹林里10鄰仁德街126號,(104)桃市都建使字第觀00792號,105/04/28,'1050008244,'105002
夢想家三期社區管理委員會,觀音區樹林里10鄰永吉街133號 等,(106)桃市都施使字第觀00307號,107/01/02,'1060029938,'107001
時尚君品一期社區管理委員會,觀音區樹林里11鄰仁德街21號等,(105)桃市都施使字第觀00482號,105/10/27,'1050023525,'105008
吉品二期社區管理委員會,觀音區樹林里11鄰長春街29號等,(106)桃市都施使字第觀00016號,107/01/31,'1070002671,'107008
勝利組一期社區管理委員會,觀音區樹林里11鄰長春街5號 等,(105)桃市都施使字第觀01288號,106/06/30,'1060014119,'106010
幸福雅御六期社區管理委員會,觀音區樹林里11鄰福壽街28號 等,(106)桃市都施使字第觀00590號,107/02/12,'1070003652,'107009
觀音亞悅三期管委會,觀音區樹林里14鄰福壽街163號 等,(105)桃市都施使字第觀01638號,107/01/10,'1070000602,'107003
吉品一期社區管理委員會,觀音區樹林里14鄰福壽街85-1號,(105)桃市都施使字第觀01311號,106/12/14,'1060028298,'106027
錢都八九期社區管理委員會,觀音區樹林里15鄰仁德街306號 等,(106)桃市都施使字第觀01147號共2筆使照,107/01/25,'1070002274,'107007
鴻億菁品大廈管理委員會,觀音區樹林里15鄰民生路21號等,(103)桃縣工建使字第觀00771號,104/02/17,'1040003189,'104002
楷得立花園大樓社區管理負責人,觀音區樹林里15鄰長春街261號,(104)桃市工建使字第觀00155號,//,'1040012802,'104001
夢想家一期管理委員會,觀音區樹林里15鄰福壽街285號等,(104)桃市都建使字第觀01041號,105/10/06,'1050021780,'105007
民生祥富居公寓大廈管理負責人,觀音區樹林里9鄰民生路75號 等,(104)桃市都建使字第觀01017號,104/12/01,'1040025739,'104008
觀音亞悅一期社區管理委員會,觀音區樹林里9鄰安和街192號 等,(105)桃市都施使字第觀01326號,107/01/19,'1070001652,'107005
東元囍市社區,觀音區藍埔村11鄰青埔49-30號5樓 等,(87)桃縣工建使字第觀01195號,088/10/06,'8800217239,'880173
富貴園社區大廈管理委員會,觀音區藍埔村1鄰樹子腳4之50號2樓等29戶,(83)桃縣工建使字第觀01257號,095/06/29,'0950188011,'950127
幸福社區管理委員會,觀音區藍埔村6鄰青埔5-28號等,(85)桃縣工建使字第觀00589號,101/06/05,'1010138670,'101096
溫莎小鎮社區D管理負責人,觀音區觀音村11鄰信義路143號等,(97)桃縣工建使字第觀00601號,097/07/03,'0970214197,'
溫莎小鎮社區A管理負責人,觀音區觀音村11鄰信義路145巷39號等,(96)桃縣工建使字第觀00338號,097/07/03,'0970214186,'
溫莎小鎮社區B管理負責人,觀音區觀音村11鄰信義路145巷65弄1號等,(96)桃縣工建使字第觀00339號,097/07/03,'0970214193,'
和館二期社區管理委員會,觀音區觀音鄉上大村9鄰上大76-5號等,(95)桃縣工建使字第觀01323號,097/06/10,'0970183991,'970095
觀懿公寓大廈管理負責人,觀音區觀音鄉草漯村6鄰莊三街72號等,(103)桃縣工建使字第觀00984號,105/00/18,'1050025322,'105009
富利雅居管理委員會,新屋區九斗村1鄰中華南路一段138巷60弄1號,102新鄉建使字第00053號,103/11/24,'1030086860,'103262
幸福世家管理委員會,新屋區九斗村8鄰上青埔52-29號,(102)桃縣工建使字第屋00037號,102/10/04,'1020245551,'102225
宏拓機械有限公司管理負責人,新屋區九斗村8鄰上青埔58之7號,(96)桃縣工建使字第屋00966號,096/09/10,'0960305335,'
陽光地地社區管理委員會,新屋區九斗村上青埔52-17號,(94)桃縣工建使字第屋00444號,094/09/27,'0940269362,'094170
新屋親家社區,新屋區八德街6號,(82)桃縣工建使字其266號,086/03/03,'8600038328,'860056
新生社區管理負責人,新屋區三民路568號,(98)桃縣工建使字第屋00265號,102/04/16,'1020091825,'102073
荷豐大墅社區管理委員會,新屋區大智路30號等8戶,(104)桃市都建使字第屋00862號,106/10/12,'1060021030,'106005
玉禾院2管理委員會,新屋區中山西路二段255巷23號,(104)桃市工建使字第屋00035號,104/07/10,'1040012643,'104001
萬鎮別莊,新屋區中山東路一段186巷7號,(91)桃縣工建使字第屋00951號,092/03/07,'0920048378,'920024
金色大地NO7管理負責人,新屋區中山東路二段775號,(102)桃縣工建使字第屋00273號,102/11/04,'1020272489,'102245
金色大地NO8管理負責人,新屋區中山東路二段789號,(102)桃縣工建使字第屋00411號,102/11/04,'1020272625,'102246
龍威別墅第八Ｂ期社區管理委員會,新屋區中正一街11號等,(96)桃縣工建使字第屋02043號共2筆使照,098/08/25,'0980329020,'980150
龍威別墅第八期社區,新屋區中正一街30號,(96)桃縣工建使字第屋01552號共2筆使照,097/03/07,'0970072038,'970029
皇家公寓大廈管理委員會,新屋區中正路198巷50弄10號,(104)桃市都建使字第屋00652號,104/08/26,'1040015544,'104005
連內閣社區,新屋區中華路830號,(84)桃縣建使字第00398號,087/05/07,'8700088477,'870089
富貴庭園社區,新屋區中華路953巷67弄23號,(95)桃縣工建使字第屋00207號,095/08/07,'0950229656,'
書香門第社區管理委員會,新屋區中興北路79巷7號,(95)桃縣工建使字第屋01350號,098/05/26,'0980199365,'098076
新屋美墅Ｂ區社區,新屋區仁愛街12號,(101)桃縣工建使字第屋01092號,102/02/27,'1020049543,'102033
皇家,新屋區北勢清華村4鄰73-61號,(90)桃縣工建使字第屋01209號,091/08/30,'0910190065,'910104
新屋美墅C區社區,新屋區四維街102號,(101)桃縣工建使字第屋01089號,102/02/27,'1020049562,'102034
桃園縣新屋鄉皇家社區,新屋區民族路六段453巷5號,(81)新鄉建字580號,090/11/23,'9000239143,'900135
龍莊花園管理負責人,新屋區石牌村1鄰石牌嶺46-1號等,(95)桃縣工建使字第屋00187號,097/04/22,'0970127054,'
皇家美墅管理委員會,新屋區赤欄村2鄰赤牛欄21-6號,(93)桃縣工建使字第屋02170號,094/09/16,'0940259016,'094161
博愛公寓大廈管理負責人,新屋區東明里3鄰上庄子5-1號,(105)桃市都施使字第屋01202號,106/02/17,'1060002907,'
新屋美墅A區社區,新屋區信義街25號等,(101)桃縣工建使字第屋01093號,102/02/27,'1020049496,'102032
楓丹白露社區管理委員會,新屋區後湖村2鄰後湖37-61號等,(95)桃縣工建使字第屋00208號,096/09/11,'306657,'096190
好福氣社區管理委員會,新屋區埔頂村11鄰埔頂41之30號,(93)桃縣工建使字第屋02080號,094/05/28,'0940175381,'094103
青雲翫社區A區管理委員會,新屋區高州二街37號,(102)桃縣工建使字第屋00608號,103/02/25,'1030012842,'103051
青雲翫社區C區管理委員會,新屋區高州六街52號,(102)桃縣工建使字第屋00611號,103/02/25,'1030012844,'103052
臻藏II管理委員會(C區),新屋區高洲六街21號等4戶,(103)桃縣工建使字第屋00448號,104/08/11,'1040016781,'104004
臻藏II管理委員會(B1~B3區),新屋區高鐵南路六段108號等3戶,(103)桃縣工建使字第屋00449號,104/08/11,'1040016781,'104002
臻藏II管理委員會(B5~B12區),新屋區高鐵南路六段92號等8戶,(103)桃縣工建使字第屋00450號,104/08/11,'1040016781,'104003
桂林花園社區管理委員會,新屋區清華村17鄰中華路572巷65弄25號,(93)桃縣工建使字第屋01421號,094/09/02,'0940242259,'940148
昌沛安家管理委員會,新屋區清華村5鄰北勢70號2樓,(103)新鄉建使字第00066號,105/05/17,'1050009098,'105001
中華琥珀管理負責人,新屋區清華里7鄰清華二街8號等,(105)桃市都施使字第屋00524號,105/05/23,'1050009760,'105003
大悅清華社區管理委員會,新屋區清華路1420巷90弄5號,(106)桃市都施使字第屋00254號,106/12/01,'1060024794,'106006
宏富龍邸公寓大廈管理委員會,新屋區華興路475巷201弄102號3樓,(105)桃市都施使字第屋00476號,106/04/14,'1060007100,'106001
龍威別墅第六C期社區管理負責人,新屋區新生三街22號,(96)桃縣工建使字第屋00513號,097/11/05,'0970369008,'
龍威別墅第五期社區,新屋區新生三街66巷20號等,(93)桃縣工建使字第屋00827號,094/05/18,'0940133514,'940080
泳達御璽社區,新屋區新生五街16巷2號等,(101)桃縣工建使字第屋00601號,101/11/15,'1010292335,'101238
新學屋大樓管理負責人,新屋區新生村10鄰新屋33-1號,(97)桃縣工建使字第屋00657號,097/05/21,'0970160184,'
皇家公寓大廈管理負責人,新屋區新生村12鄰中山路377號,(103)桃縣工建使字第屋00934號,103/09/24,'1030069501,'103208
禪心樓管理委員會,新屋區新生村6鄰中正路110巷21號,(103)桃縣工建使字第屋01230號,103/11/18,'1030084935,'103254
龍威別墅第五期B社區管理委員會,新屋區新生村8鄰中正一街116號,(94)桃縣工建使字第龜00828號,094/11/18,'0940324765,'
龍威別墅第六B期社區管理委員會,新屋區新生村8鄰中正路110巷8-2號等,(95)桃縣工建使字第屋01142號,097/06/03,'0970176471,'970089
龍威別墅第三期,新屋區新生村8鄰新生五街60號,(93)桃縣工建使字第屋00220號,093/12/24,'0930337895,'930163
富田別墅社區管理委員會,新屋區新州東路56巷8號,(102)桃縣工建使字第屋01260號共3筆使照,103/03/26,'1030020138,'103069
中山大庭院社區管理委員會,新屋區新屋村7鄰新文路19巷7號,(103)桃縣工建使字第屋00422號共2筆使照,103/10/07,'1030073846,'103223
清淞貳期,新屋區新洲五街103巷1號等,(100)桃縣工建使字第屋01233號,101/08/30,'101217850,'
御墅三期乙區管理負責人,新屋區新洲五街15號,(101)桃縣工建使字第屋00824號,102/04/22,'1020098232,'102079
御墅三期甲區管理委員會,新屋區新洲路31號等,(100)桃縣工建使字第屋01112號,101/05/17,'1010121638,'101080
御墅三期丙區管理負責人,新屋區新洲路五街23號,(101)桃縣工建使字第屋01036號,102/04/22,'1020098226,'102078
臻藏Ⅱ社區管理委員會,新屋區新高路8號,(102)桃縣工建使字第屋01125號,103/01/16,'1030004414,'103019
典藏首御社區管理委員會,新屋區新榮路266號,(103)桃縣工建使字第屋01442號,107/01/04,'1060027053,'107001
長洲皇家社區,新屋區新榮路68巷21號,(91)桃縣工建使字第屋00055號,091/08/27,'0910186964,'910102
御墅二期社區管理負責人,新屋區福州五街33巷10號,(100)桃縣工建使字第屋00016號,100/10/07,'1000411182,'100204
清淞五期管理委員會,新屋區福州六街46巷1號等,(101)桃縣工建使字第屋00496號,101/11/02,'1010279457,'
清淞三管理委員會,新屋區福洲六街60巷1號等,(101)桃縣工建使字第屋00387號,101/11/02,'1010279534,'
荷豐大墅II期社區管理委員會,新屋區興芝路372巷9號,(105)桃市都施使字第屋01077號,106/12/15,'1060025559,'106007
翰林苑NO.2社區管理委員會,新屋區頭洲村3鄰新洲五街71巷1號,(100)桃縣工建使字第00742號,101/01/17,'1010018362,'101009
成盛清淞第7期管理委員會,新屋區頭洲村3鄰新洲東路40巷8號等,(102)桃縣工建使字第屋01482號,103/06/03,'1030037226,'103125
禮城邦社區管理委員會,新屋區頭洲村3鄰福州路51號,(100)桃縣工建使字第屋00139號,100/07/27,'1000297551,'100153
現代清境社區管理委員會,新屋區頭洲村4鄰中山東路二段622巷20號等,(95)桃縣工建使字第屋01958號,097/04/28,'0970136280,'097059
康莊大院管理委員會,新屋區頭洲村4鄰校前一街23巷1號等,(102)桃縣工建使字第屋00772號,103/05/29,'1030037089,'103124
家一景社區管理委員會,新屋區頭洲村4鄰校前一街82巷12號,(102)桃縣工建使字第屋01423號,103/07/14,'1030048336,'103167
堉琪園社區管理負責人,新屋區頭洲里1鄰新榮路210巷23號,(105)桃市都施使字第屋01081號,105/09/20,'1050018254,'105006
桃園市新屋區幸福庭社區管理委員會,新屋區頭洲里4鄰中山東路二段535巷10號2樓,(105)桃市都施使字第屋00734號,106/05/31,'1060010512,'106003
久久社區管理負責人,新屋區頭洲里福洲一街99號等,(104)桃市都建使字第屋00911號,105/06/17,'1050011580,'105004
快樂學園社區管理委員會,桃園區大有路945巷29-3號2樓,(105)桃市都施使字第桃01578號,107/06/01,'1070032249,'107024
麗寶大藝術家A區管理委員會,八德區中山路201號,(103)桃縣工建使字第德00937號,107/06/04,'1070020627,'107008
